club,aim_offset,mean_birdie_prob,var_birdie_prob
9 Iron,-10.0,0.07419557099541028,0.0008134872515099608
9 Iron,-8.0,0.06619197602073351,0.000538786127087959
9 Iron,-6.0,0.06280007511377335,0.0007187650130883354
9 Iron,-4.0,0.0704290601114432,0.0007462133145761889
9 Iron,-2.0,0.0700182023147742,0.0005925138104426981
9 Iron,0.0,0.07125223179658254,0.0008271028546210844
9 Iron,2.0,0.07582776347796122,0.0008820742148298967
9 Iron,4.0,0.07883770987391472,0.0010190736294663871
9 Iron,6.0,0.08563673719763756,0.0005766711482361821
9 Iron,8.0,0.0829623540242513,0.0009225241187108891
9 Iron,10.0,0.08061088273922602,0.0007444666102672794
9 Iron,12.0,0.07827413106958071,0.0009281464438501326
9 Iron,14.0,0.09541012346744537,0.000921731779881596
9 Iron,16.0,0.08420050491889318,0.0007482866846819157
9 Iron,18.0,0.09092053323984146,0.0010149129647535767
9 Iron,20.0,0.08863397985696793,0.0012706688647680377
Driver,-20.0,0.14042526533206304,0.003552942070860691
Driver,-18.0,0.1402398020029068,0.0033865489194243874
Driver,-16.0,0.1446828303237756,0.004106413761922828
Driver,-14.0,0.17261523256699243,0.004440900213568313
Driver,-12.0,0.1437084247668584,0.0024137171766765142
Driver,-10.0,0.1772250364224116,0.005073504415746903
Driver,-8.0,0.16009009132782617,0.0041037891675459615
Driver,-6.0,0.1561028574903806,0.0028405129482997255
Driver,-4.0,0.17971616884072622,0.006084845459230602
Driver,-2.0,0.17042331844568254,0.004432603427357364
Driver,0.0,0.18244734009106953,0.0040820452086037995
Driver,2.0,0.19760310898224512,0.004176673377999246
Driver,4.0,0.18839403738578162,0.005381525069544206
Driver,6.0,0.18197999944289525,0.0030122937709332895
Driver,8.0,0.2098436176776886,0.005348379586007799
Driver,10.0,0.18854600737492244,0.003224556983870008
Driver,12.0,0.20758850872516632,0.004875995821805098
Driver,14.0,0.21819904297590256,0.004668103282447783
Driver,16.0,0.2016493211189906,0.005146602826714548
Driver,18.0,0.20895390808582306,0.0044595698741560115
Driver,20.0,0.22082391679286956,0.0037007708552951493
H 50 deg,-20.0,0.001179043451944987,1.8118794325773359e-06
H 50 deg,-18.0,0.0012513692180315652,1.178525060244863e-06
H 50 deg,-16.0,0.0006687283515930176,1.013611958879205e-06
H 50 deg,-14.0,0.0012442022562026978,2.3168109550682675e-06
H 50 deg,-12.0,0.001263767977555593,1.1206753655214187e-06
H 50 deg,-10.0,0.0011643752455711364,2.328136514186212e-06
H 50 deg,-8.0,0.0008871540427207947,1.4726267899386095e-06
H 50 deg,-6.0,0.0014755497376124063,2.1792899179878193e-06
H 50 deg,-4.0,0.0015192662676175436,1.6016078340405946e-06
H 50 deg,-2.0,0.0016429712375005086,2.914052894378787e-06
H 50 deg,0.0,0.0014296427369117736,3.208762003128475e-06
H 50 deg,2.0,0.0010239904125531514,1.950069178951402e-06
H 50 deg,4.0,0.0013881638646125794,2.7164262656786947e-06
H 50 deg,6.0,0.0017809877792994181,4.284825677527909e-06
H 50 deg,8.0,0.0018682067592938742,6.739451858816093e-06
H 50 deg,10.0,0.0020812049508094786,2.8314848571153743e-06
H 50 deg,12.0,0.0019834404190381366,6.391890603099574e-06
H 50 deg,14.0,0.0027197067936261493,4.0464602632433395e-06
H 50 deg,16.0,0.0023066962758700052,9.145430362088717e-06
H 50 deg,18.0,0.002736165126164754,7.315987651156499e-06
H 50 deg,20.0,0.0026833633581797283,5.044409396455722e-06
H 54 deg,-20.0,0.0018920903404553732,8.511656213264898e-06
H 54 deg,-18.0,0.0014074017604192098,4.973797549893257e-06
