x,y,N,club_1,aim_1,esho_1,se_1,freq_1,club_2,aim_2,esho_2,freq_2,delta_esho,functionally_equivalent
-40.0,84.67221082273954,200,Hybrid,20,4.002666925390561,0.019013939774204267,48,Hybrid,18,4.004379652440548,32,0.0017127270499868175,True
-40.0,84.67221082273954,250,Hybrid,20,4.002502611050239,0.01693518172139028,52,Hybrid,18,4.007914049872037,29,0.005411438821798065,True
-40.0,84.67221082273954,300,Hybrid,20,4.0048516009535104,0.015722541814306948,56,Hybrid,18,4.004926764048063,26,7.516309455279924e-05,True
-40.0,93.34026352842444,10,Hybrid,20,3.930241949418012,0.037094527336048504,17,Hybrid,18,3.927797476450602,12,0.0024444729674097943,True
-40.0,93.34026352842444,20,Hybrid,20,3.9514930766561758,0.029215176182397416,23,4 Iron,20,3.9527492821216583,16,0.0012562054654825516,True
-40.0,93.34026352842444,30,Hybrid,20,3.958672712246577,0.02250077086180623,24,Hybrid,18,3.9681875425226547,17,0.009514830276077912,True
-40.0,93.34026352842444,50,Hybrid,20,3.9726559423631236,0.02011639100339926,31,Hybrid,18,3.9742674074674906,19,0.0016114651043670492,True
-40.0,93.34026352842444,100,Hybrid,20,3.9833126122301277,0.0146663593201324,44,Hybrid,18,3.9848210250630096,17,0.0015084128328819446,True
-40.0,93.34026352842444,150,Hybrid,20,3.9865497483147516,0.012320331965289925,54,Hybrid,18,3.990041147578846,22,0.0034913992640945857,True
-40.0,93.34026352842444,200,Hybrid,20,3.9881378140365866,0.010663501410067147,57,Hybrid,18,3.990386896133423,25,0.0022490820968363856,True
-40.0,93.34026352842444,250,Hybrid,20,3.988712455287124,0.009649449901282199,66,Hybrid,18,3.9933059916776767,17,0.0045935363905527105,True
-40.0,93.34026352842444,300,Hybrid,20,3.989010330608913,0.008880280878074066,70,Hybrid,18,3.9911815961201986,15,0.0021712655112855472,True
-40.0,102.00831623410932,10,Driver,-6,3.9374926249186197,0.05089496107859527,15,Driver,-8,3.904491353034973,10,0.033001271883646766,True
-40.0,102.00831623410932,20,Driver,-4,3.9670977062649198,0.03887643994160846,9,Driver,-8,3.943382637841361,7,0.02371506842355897,True
