x,y,N,club_agreement,aim_agreement,joint_agreement,n_seeds
26.666666666666657,258.0332649364373,10,0.95,0.24,0.23,100
26.666666666666657,266.7013176421222,10,0.96,0.35,0.35,100
26.666666666666657,275.3693703478071,10,1.0,0.38,0.38,100
26.666666666666657,284.037423053492,10,0.84,0.36,0.34,100
37.77777777777777,50.0,10,0.59,0.1,0.08,100
37.77777777777777,58.668052705684886,10,0.75,0.11,0.09,100
37.77777777777777,67.33610541136977,10,0.58,0.11,0.07,100
37.77777777777777,76.00415811705466,10,0.82,0.13,0.11,100
37.77777777777777,84.67221082273954,10,0.69,0.11,0.07,100
37.77777777777777,93.34026352842444,10,0.49,0.1,0.06,100
37.77777777777777,102.00831623410932,10,0.71,0.14,0.1,100
37.77777777777777,110.67636893979422,10,0.67,0.17,0.12,100
37.77777777777777,119.3444216454791,10,0.98,0.16,0.16,100
37.77777777777777,128.01247435116397,10,0.57,0.12,0.09,100
37.77777777777777,136.68052705684886,10,0.97,0.14,0.14,100
37.77777777777777,145.34857976253377,10,0.73,0.14,0.11,100
37.77777777777777,154.01663246821866,10,0.62,0.12,0.11,100
37.77777777777777,162.68468517390357,10,0.72,0.19,0.14,100
37.77777777777777,171.35273787958843,10,0.57,0.18,0.12,100
37.77777777777777,180.02079058527332,10,0.54,0.15,0.1,100
37.77777777777777,188.6888432909582,10,0.68,0.16,0.11,100
37.77777777777777,197.3568959966431,10,0.56,0.19,0.11,100
37.77777777777777,206.024948702328,10,0.88,0.16,0.15,100
37.77777777777777,214.6930014080129,10,0.92,0.21,0.2,100
37.77777777777777,223.36105411369775,10,0.55,0.18,0.15,100
37.77777777777777,232.02910681938263,10,0.91,0.19,0.19,100
37.77777777777777,240.69715952506752,10,0.56,0.18,0.11,100
37.77777777777777,249.3652122307524,10,0.6,0.22,0.14,100
37.77777777777777,258.0332649364373,10,0.59,0.17,0.15,100
37.77777777777777,266.7013176421222,10,0.58,0.3,0.18,100
37.77777777777777,275.3693703478071,10,1.0,0.36,0.36,100
37.77777777777777,284.037423053492,10,0.98,0.31,0.31,100
48.888888888888886,50.0,10,0.47,0.1,0.06,100
48.888888888888886,58.668052705684886,10,0.83,0.09,0.09,100
48.888888888888886,67.33610541136977,10,0.53,0.12,0.06,100
48.888888888888886,76.00415811705466,10,0.73,0.12,0.09,100
48.888888888888886,84.67221082273954,10,0.69,0.13,0.11,100
48.888888888888886,93.34026352842444,10,0.53,0.1,0.07,100
48.888888888888886,102.00831623410932,10,0.5,0.15,0.1,100
48.888888888888886,110.67636893979422,10,0.69,0.1,0.08,100
48.888888888888886,119.3444216454791,10,0.63,0.15,0.12,100
48.888888888888886,128.01247435116397,10,0.86,0.19,0.15,100
48.888888888888886,136.68052705684886,10,1.0,0.18,0.18,100
48.888888888888886,145.34857976253377,10,0.6,0.18,0.15,100
48.888888888888886,154.01663246821866,10,0.92,0.19,0.17,100
48.888888888888886,162.68468517390357,10,0.91,0.15,0.14,100
48.888888888888886,171.35273787958843,10,0.4,0.14,0.06,100
48.888888888888886,180.02079058527332,10,0.89,0.14,0.14,100
48.888888888888886,188.6888432909582,10,0.9,0.19,0.17,100
48.888888888888886,197.3568959966431,10,0.87,0.19,0.17,100
48.888888888888886,206.024948702328,10,0.87,0.12,0.11,100
48.888888888888886,214.6930014080129,10,0.98,0.18,0.18,100
48.888888888888886,223.36105411369775,10,0.98,0.12,0.12,100
48.888888888888886,232.02910681938263,10,0.62,0.17,0.12,100
48.888888888888886,240.69715952506752,10,0.56,0.17,0.15,100
48.888888888888886,249.3652122307524,10,0.75,0.18,0.13,100
48.888888888888886,258.0332649364373,10,0.87,0.2,0.18,100
48.888888888888886,266.7013176421222,10,0.74,0.27,0.26,100
48.888888888888886,275.3693703478071,10,0.62,0.27,0.2,100
48.888888888888886,284.037423053492,10,0.98,0.27,0.27,100
60.0,50.0,10,0.65,0.09,0.07,100
60.0,58.668052705684886,10,0.83,0.11,0.11,100
60.0,67.33610541136977,10,0.64,0.14,0.08,100
60.0,76.00415811705466,10,0.82,0.13,0.11,100
60.0,84.67221082273954,10,0.65,0.15,0.1,100
60.0,93.34026352842444,10,0.54,0.14,0.09,100
60.0,102.00831623410932,10,0.43,0.14,0.08,100
60.0,110.67636893979422,10,0.73,0.19,0.12,100
60.0,119.3444216454791,10,0.65,0.2,0.13,100
60.0,128.01247435116397,10,0.71,0.13,0.1,100
60.0,136.68052705684886,10,0.93,0.12,0.12,100
60.0,145.34857976253377,10,0.56,0.21,0.14,100
60.0,154.01663246821866,10,0.82,0.19,0.16,100
